order_id,gender_category,product_line,product_name,size,units_sold,mrp,discount_applied,revenue,order_date,sales_channel,region,profit
2001,Women,Soccer,Tiempo Legend,7,3,4957.93,0,14873.79,07/09/2024,Retail,Hyderabad,-112.53
2010,Kids,Lifestyle,Waffle One,9,1,7949.83,0,7949.83,16/01/2025,Online,Pune,1965.56
2017,Women,Basketball,Air Jordan,9,4,5966.81,0,23867.23,17/03/2025,Retail,Delhi,1946.24
2019,Kids,Running,Air Zoom,6,0,3424.06,0.32,0,17/01/2025,Online,Hyderabad,1915.24
2024,Kids,Training,SuperRep Go,11,0,5966.81,0.5,0,28/12/2024,Retail,Bengaluru,1842.35
2026,Kids,Lifestyle,Blazer Mid,11,1,5966.81,0.16,5012.12,08/10/2024,Retail,Kolkata,2301.64
2029,Men,Training,ZoomX Invincible,12,0,5966.81,0,0,28/10/2023,Online,Bengaluru,-185.67
2031,Men,Soccer,Premier III,11,4,3493.04,0.82,2514.99,05/09/2024,Online,Delhi,350.7
2032,Women,Lifestyle,Blazer Mid,11,1,5966.81,1,0,04/11/2025,Retail,Mumbai,-555.16
2035,Kids,Basketball,Zoom Freak,11,4,5966.81,0.38,14797.68,17/11/2024,Online,Bengaluru,2914.83
2036,Men,Training,Metcon 7,11,3,5966.81,0,17900.42,15/02/2025,Retail,Bengaluru,-143.8
2002,Women,Basketball,Zoom Freak,11,3,5075.22,0,15225.66,03/07/2025,Retail,Delhi,145.08
2045,Kids,Lifestyle,Dunk Low,11,4,5966.81,0,23867.23,04/06/2025,Retail,Delhi,1833.94
2047,Women,Training,SuperRep Go,10,1,8577.75,0,8577.75,13/06/2024,Retail,Bengaluru,2888.68
2052,Men,Training,Flex Trainer,10,3,9155.96,0,27467.88,10/08/2024,Retail,Pune,2184.8
2053,Men,Lifestyle,Air Force 1,11,3,6009.58,0,18028.74,10/02/2024,Online,Delhi,3384.92
2056,Men,Running,React Infinity,9,3,5966.81,0,17900.42,31/05/2024,Retail,Bengaluru,-244.44
2048,Men,Lifestyle,Waffle One,7,3,6216.29,0.94,1118.93,14/09/2024,Online,Mumbai,-642.02
2060,Men,Lifestyle,Waffle One,9,2,7979.26,0,15958.52,07/11/2024,Online,Bengaluru,2821.59
2062,Men,Basketball,Air Jordan,11,2,5966.81,0,11933.61,06/06/2025,Online,Bengaluru,1823.91
2063,Women,Basketball,Air Jordan,7,1,9751,0.16,8190.84,09/06/2024,Retail,Pune,1130.31
2064,Kids,Running,React Infinity,9,2,7557.71,0,15115.42,03/02/2025,Online,Bengaluru,3277.44
2067,Kids,Basketball,LeBron 20,9,4,3588.38,0,14353.52,05/06/2025,Online,Kolkata,161.5
2068,Men,Running,Free RN,11,4,2553.29,0,10213.16,12/05/2024,Retail,Mumbai,984.9
2071,Kids,Lifestyle,Blazer Mid,7,3,7849.81,0.49,12010.21,01/12/2025,Retail,Pune,-882.96
2073,Women,Lifestyle,Blazer Mid,12,4,5966.81,0.85,3580.08,11/03/2024,Online,Hyderabad,443.86
2075,Kids,Basketball,Air Jordan,9,4,4251.74,0,17006.96,14/07/2025,Online,Pune,2345.35
2084,Men,Training,Metcon 7,7,2,5966.81,0,11933.61,24/12/2023,Online,Mumbai,408.39
2086,Men,Soccer,Mercurial Superfly,9,0,5966.81,0.45,0,10/11/2024,Online,Kolkata,1742.66
2088,Women,Running,Free RN,11,4,5966.81,0,23867.23,26/04/2025,Online,Bengaluru,2702.93
2089,Women,Training,Flex Trainer,9,2,6874.77,0.6,5499.82,12/02/2024,Online,Mumbai,-1076.66
2094,Kids,Training,Flex Trainer,10,1,4276.36,0,4276.36,11/10/2024,Retail,Delhi,2974.58
2096,Men,Running,Pegasus Turbo,11,2,5966.81,0,11933.61,24/12/2024,Online,Kolkata,288.66
2099,Kids,Soccer,Mercurial Superfly,7,2,5966.81,0.32,8114.86,02/01/2025,Retail,Mumbai,360.97
2100,Kids,Soccer,Phantom GT,8,1,5937.52,0,5937.52,07/11/2025,Retail,Mumbai,2287.57
2105,Kids,Training,Metcon 7,11,2,5744.7,0,11489.4,17/11/2024,Retail,Mumbai,1716.04
2107,Women,Running,React Infinity,7,4,5966.81,0,23867.23,30/08/2024,Online,Hyderabad,-184.69
2109,Kids,Basketball,Zoom Freak,7,0,5966.81,0,0,29/01/2025,Retail,Kolkata,3791.88
2110,Kids,Running,Air Zoom,12,1,5966.81,0.42,3460.75,25/12/2024,Retail,Pune,-259.29
2117,Women,Training,SuperRep Go,9,0,7645.96,0,0,30/10/2024,Online,Pune,2037.43
2118,Kids,Basketball,Zoom Freak,11,2,8426.54,0,16853.08,21/09/2023,Online,Hyderabad,2696.85
2130,Men,Soccer,Premier III,10,3,5966.81,0.24,13604.32,14/09/2024,Online,Bengaluru,2962.75
2135,Men,Basketball,Zoom Freak,9,2,9106.61,0.74,4735.44,11/03/2024,Retail,Hyderabad,2422.38
2136,Kids,Training,ZoomX Invincible,9,1,5966.81,0,5966.81,15/09/2024,Online,Pune,3672.24
2137,Men,Soccer,Phantom GT,11,0,5222.02,0.95,0,01/12/2025,Online,Delhi,1796.76
2138,Men,Running,Pegasus Turbo,11,2,8055.2,0,16110.4,14/06/2025,Online,Mumbai,1840.09
2144,Women,Lifestyle,Waffle One,11,4,5966.81,0,23867.23,30/03/2025,Online,Kolkata,2385.1
2145,Men,Lifestyle,Blazer Mid,6,0,5966.81,0.67,0,30/07/2024,Online,Bengaluru,1335.45
2150,Women,Basketball,LeBron 20,7,2,3313.21,0.48,3445.74,07/06/2025,Online,Bengaluru,3221.62
2151,Kids,Soccer,Tiempo Legend,9,4,5619.75,0,22479,27/05/2025,Online,Bengaluru,2000.85
2153,Men,Running,React Infinity,11,0,5966.81,0.09,0,18/08/2024,Retail,Pune,1246.58
2156,Men,Soccer,Tiempo Legend,7,0,5966.81,0,0,31/08/2024,Online,Pune,-286.07
2157,Kids,Soccer,Premier III,11,1,5966.81,0,5966.81,29/04/2025,Online,Delhi,-701.01
2164,Women,Soccer,Mercurial Superfly,8,0,5966.81,0.95,0,23/10/2024,Online,Pune,-872.9
2165,Kids,Training,SuperRep Go,9,4,4577.65,0,18310.6,11/11/2024,Retail,Kolkata,2460.19
2169,Kids,Training,Flex Trainer,11,4,4046.05,0.01,16022.36,14/12/2024,Retail,Delhi,1057.58
2170,Kids,Lifestyle,Air Force 1,7,0,5966.81,0,0,28/06/2025,Online,Kolkata,3218.82
2176,Men,Soccer,Mercurial Superfly,11,4,5966.81,0,23867.23,01/04/2025,Online,Bengaluru,3908.28
2178,Men,Running,Free RN,11,1,5966.81,0,5966.81,28/10/2024,Retail,Bengaluru,-983.37
2179,Women,Training,ZoomX Invincible,7,3,5966.81,0,17900.42,26/01/2024,Retail,Pune,3135.92
2181,Women,Lifestyle,Air Force 1,11,2,5966.81,0,11933.61,01/06/2025,Retail,Delhi,419.58
2185,Women,Training,ZoomX Invincible,11,4,4207.44,0.59,6900.2,06/08/2025,Online,Kolkata,-615.48
2189,Men,Training,SuperRep Go,9,3,5966.81,0.9,1790.04,10/02/2024,Online,Hyderabad,3628.46
2191,Men,Lifestyle,Air Force 1,8,3,5966.81,0,17900.42,28/09/2024,Retail,Pune,-1032.88
